time,user_id,exercise_code
2011-01-01T01:35:30,334,strength5
2011-01-01T01:39:00,94,strength2
2011-01-01T01:51:00,94,strength1
2011-01-01T02:04:30,166,cardio4
2011-01-01T02:06:30,334,cardio4
2011-01-01T02:08:00,94,strength5
2011-01-01T02:26:00,94,strength4
2011-01-01T02:30:30,166,cardio1
2011-01-01T02:53:00,84,cardio3
2011-01-01T03:18:30,166,cardio5
2011-01-01T03:23:00,84,cardio2
2011-01-01T03:29:00,94,cardio3
2011-01-01T03:38:30,330,cardio2
2011-01-01T03:50:00,1,cardio4
2011-01-01T03:55:30,330,strength1
2011-01-01T03:58:00,1,strength5
2011-01-01T04:01:00,1,strength3
2011-01-01T04:07:30,212,cardio3
2011-01-01T04:09:00,1,strength2
2011-01-01T04:19:00,84,cardio5
2011-01-01T04:32:00,197,cardio2
2011-01-01T05:10:00,197,cardio1
2011-01-01T05:14:30,330,cardio3
2011-01-01T05:54:30,167,strength4
2011-01-01T05:58:00,197,cardio3
2011-01-01T06:23:30,167,cardio4
2011-01-01T06:29:30,231,cardio3
2011-01-01T06:50:00,179,cardio3
2011-01-01T06:51:30,167,cardio1
2011-01-01T07:00:30,318,strength1
2011-01-01T07:09:30,231,cardio4
2011-01-01T07:20:30,231,strength5
2011-01-01T07:29:00,179,cardio2
2011-01-01T07:31:30,318,cardio4
2011-01-01T07:34:00,179,strength3
2011-01-01T07:41:30,318,strength2
2011-01-01T07:50:00,210,cardio2
2011-01-01T07:50:30,167,cardio5
2011-01-01T08:09:30,318,cardio1
2011-01-01T08:52:00,210,cardio3
2011-01-01T08:54:30,318,cardio3
2011-01-01T09:13:00,199,cardio1
2011-01-01T09:16:30,194,cardio4
2011-01-01T09:24:30,16,strength1
2011-01-01T09:43:30,227,cardio1
2011-01-01T09:53:00,199,cardio3
2011-01-01T09:56:30,16,cardio4
2011-01-01T09:58:00,170,strength1
2011-01-01T10:03:30,321,cardio4
2011-01-01T10:06:30,16,strength4
2011-01-01T10:10:30,321,strength1
2011-01-01T10:13:00,247,strength2
2011-01-01T10:13:30,227,cardio2
2011-01-01T10:23:00,247,strength1
2011-01-01T10:24:30,227,strength2
2011-01-01T10:26:30,167,cardio2
2011-01-01T10:27:30,101,strength1
2011-01-01T10:29:00,26,cardio2
2011-01-01T10:39:00,170,cardio2
2011-01-01T10:41:30,16,cardio3
2011-01-01T10:44:30,101,strength5
2011-01-01T10:44:30,321,cardio3
2011-01-01T10:51:00,100,cardio2
2011-01-01T10:53:30,321,strength2
2011-01-01T10:58:30,101,strength2
2011-01-01T11:00:00,247,cardio4
2011-01-01T11:03:00,96,strength3
2011-01-01T11:07:00,136,strength1
2011-01-01T11:12:30,167,cardio3
2011-01-01T11:13:00,26,cardio1
2011-01-01T11:20:30,321,cardio1
2011-01-01T11:21:00,217,cardio2
