23647432,2006-07-05 00:00:00.000,225000,249928
48651494,1997-09-30 00:00:00.000,230000,214206
48651497,2000-10-23 00:00:00.000,162250,152691
48651498,2005-12-28 00:00:00.000,404500,362536
48651499,2002-02-21 00:00:00.000,316000,326701
48651499,2005-04-15 00:00:00.000,400000,436300
48651500,1999-07-27 00:00:00.000,285000,287453
48651501,2006-01-31 00:00:00.000,630000,619662
48651502,2001-10-09 00:00:00.000,374000,309696
48651502,2003-06-27 00:00:00.000,423000,349781
48651502,2006-07-14 00:00:00.000,560000,544276
48651503,1997-04-28 00:00:00.000,169000,184045
48651504,2000-02-29 00:00:00.000,290000,290370
48651506,1998-10-16 00:00:00.000,260000,262485
48651507,1997-05-27 00:00:00.000,160000,173003
48651967,2003-08-06 00:00:00.000,300000,327772
48651967,2005-06-03 00:00:00.000,382000,413977
48651968,2001-09-07 00:00:00.000,360000,337548
48651968,2007-06-28 00:00:00.000,590000,589503
48651969,2005-11-03 00:00:00.000,385000,412107
48651972,2006-12-22 00:00:00.000,225000,419048
48651977,2004-07-29 00:00:00.000,404350,357279
48651979,1999-09-30 00:00:00.000,270000,271080
48651980,1998-02-27 00:00:00.000,140000,185958
48651980,1998-05-12 00:00:00.000,248000,219465
48651980,2002-03-20 00:00:00.000,320000,316057
48651982,2003-06-06 00:00:00.000,340000,315240
48651983,2004-02-23 00:00:00.000,289000,299456
48651985,2003-05-02 00:00:00.000,309950,277321
48651987,2003-05-09 00:00:00.000,305000,310376
48651988,2005-04-15 00:00:00.000,450000,459777
48651992,2003-10-02 00:00:00.000,380000,338728
48651993,2002-04-18 00:00:00.000,379950,336281
48652025,2004-10-07 00:00:00.000,210000,191529
48652027,2004-09-02 00:00:00.000,213000,202844
48652028,2000-06-14 00:00:00.000,181000,201758
48652028,2001-04-30 00:00:00.000,225000,213880
48652028,2004-03-22 00:00:00.000,252500,237605
48652030,2003-01-10 00:00:00.000,200000,213974
48652031,1996-10-30 00:00:00.000,137683,135426
48656645,2006-11-22 00:00:00.000,294000,265317
48656646,1999-08-26 00:00:00.000,59800,116973
48656646,2003-03-27 00:00:00.000,159950,139613
48656648,2000-10-31 00:00:00.000,147500,149986
48656648,2002-02-08 00:00:00.000,173000,161131
48656649,2005-10-31 00:00:00.000,202000,172588
48656653,1998-11-25 00:00:00.000,155000,158718
48656654,2006-10-19 00:00:00.000,275000,285566
48656656,2004-05-28 00:00:00.000,193750,198868
48656658,2003-07-01 00:00:00.000,187050,152323
48656660,1999-03-17 00:00:00.000,149950,146070
48656660,2001-08-06 00:00:00.000,173000,178769
48656661,2001-06-01 00:00:00.000,129950,129390
48656661,2003-04-25 00:00:00.000,139950,138921
48656661,2004-04-08 00:00:00.000,164500,143747
48656662,2004-03-26 00:00:00.000,200000,193035
48656663,1996-12-12 00:00:00.000,147900,136723
48656664,1998-04-30 00:00:00.000,120000,114200
48656665,1998-12-04 00:00:00.000,165000,168350
48656665,2001-05-31 00:00:00.000,215000,204030
48656667,2003-02-21 00:00:00.000,138500,145977
48656668,2001-04-06 00:00:00.000,174900,182117
48661299,2002-03-25 00:00:00.000,230000,231935
48661299,2005-08-17 00:00:00.000,295000,301770
48661301,2001-01-26 00:00:00.000,224950,244337
48661301,2004-03-12 00:00:00.000,255000,273962
48661305,1999-09-30 00:00:00.000,3000,69500
48663079,2003-05-20 00:00:00.000,309950,286069
48663080,2007-01-26 00:00:00.000,530000,612029
48663086,2006-08-01 00:00:00.000,399950,386135
48663087,1998-07-24 00:00:00.000,166000,167988
48663089,2006-11-27 00:00:00.000,373750,425452
48663090,2006-03-03 00:00:00.000,420000,411009
48663094,2006-11-28 00:00:00.000,365000,359615
48663095,1998-05-18 00:00:00.000,60000,128463
48663095,1999-06-18 00:00:00.000,325000,136707
48663096,2002-09-04 00:00:00.000,339950,334287
48663097,2007-02-08 00:00:00.000,423000,415762
48663102,2006-09-29 00:00:00.000,335000,376619
48663103,1998-04-03 00:00:00.000,139900,163382
48663105,2000-07-18 00:00:00.000,187000,186719
48663106,1999-06-04 00:00:00.000,179000,220488
48663107,2006-10-30 00:00:00.000,399999,437850
48663109,2001-10-17 00:00:00.000,293000,255402
48663111,2007-02-06 00:00:00.000,333000,344834
48663117,2005-10-20 00:00:00.000,325000,332773
48663120,2001-03-15 00:00:00.000,240000,207026
48663121,1998-01-29 00:00:00.000,156000,151246
48663121,2001-12-31 00:00:00.000,200000,214283
48665292,2002-09-23 00:00:00.000,235500,217323
48665296,2000-07-20 00:00:00.000,229000,201587
48665303,2001-06-25 00:00:00.000,240550,202818
48665304,2003-08-15 00:00:00.000,249000,260221
48665305,1997-10-06 00:00:00.000,165000,147608
48665311,2006-05-17 00:00:00.000,446000,371497
48665312,2004-06-09 00:00:00.000,258500,268194
48665313,1998-12-31 00:00:00.000,220000,236627
48665313,2007-08-13 00:00:00.000,527950,493986
48665314,2000-05-01 00:00:00.000,205000,234356
48665316,1997-11-06 00:00:00.000,160000,152054
48665317,1998-11-19 00:00:00.000,171200,171003
48665318,2003-04-23 00:00:00.000,208000,251730
48665320,2004-06-04 00:00:00.000,327000,327381
48665321,2003-05-29 00:00:00.000,250000,211029
48665323,1998-12-11 00:00:00.000,125000,142632
48665326,2007-04-27 00:00:00.000,326000,311019
48665329,2006-06-15 00:00:00.000,376000,333963
48665331,1997-12-22 00:00:00.000,140000,146690
48665332,2005-12-28 00:00:00.000,300000,374178
48665333,2005-05-24 00:00:00.000,235000,293032
48665336,2005-08-10 00:00:00.000,293000,356830
48665339,2005-02-17 00:00:00.000,332000,301042
48665339,2007-04-27 00:00:00.000,400000,435192
48665340,1999-11-12 00:00:00.000,199950,194240
48668189,2005-10-28 00:00:00.000,550000,544254
48668190,2006-10-06 00:00:00.000,740000,767913
